,0
365,"( ( ( ( shion ) ) ) ) with a horn on her head, with purple hair, ( ( ( ponytail ) ) ) ( purple eyes ), a purple tuxedo, sharp focus, intricate, cell shaded, award"
366,"full body pose, hyperrealistic mixed media painting of female anarchist, dim volumetric lighting, 8 k, octane detailed render, extremely hyper detailed, intricate, epic composition, cinematic lighting, masterpiece, trending on artstation, very very detailed, masterpiece, stunning, hdr, smooth, sharp"
367,"Oil painting - She Eats of the Strangling Fruit and Her gossamer polyp blossoms bring iridescent fungal flowers whose spores black the foolish stars by Lucian Freud, Abstract brush strokes, Masterpiece, Edward Hopper and James Gilleard, Zdzislaw Beksinski,"
368,"junky armadillo, cybertronic gadgets and vr helmet, durty colours, rotten textures, rusty shapes, flesh + technology, biotechnology, norman rockwell, tim hildebrandt, dariusz zawadzki, bruce pennington, larry elmore, intricate details, hyperrealistic oil painting on canvas, deep depth field, cinematic"
369,"anime visual, portrait of a young black haired girl wearing hoodie sightseeing above the urban city, school rooftop guardrail, cute face by yoh yoshinari, katsura masakazu, dramatic lighting, dynamic pose, dynamic perspective, strong silhouette, ilya kuvshinov, anime cels,"
370,"shiny aluminum rocket ship in cosmic space by tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, larry elmore, fleet, star wars, naboo 1, v wing, b - 2 bomber, jet engines, concorde, world war 2, masterpiece, trending on artstation,"
371,"breathtaking detailed concept art painting portrait of the hugs goddess of light blue flowers, blonde curly hair, orthodox saint, with anxious piercing eyes, ornate background, amalgamation of leaves and flowers, face by hsiao - ron cheng, extremely moody lighting,"
372,"anime visual, portrait of a young black haired girl wearing hoodie sightseeing above the urban city, school rooftop guardrail, cute face by yoh yoshinari, katsura masakazu, dramatic lighting, dynamic pose, dynamic perspective, strong silhouette, ilya kuvshinov, anime cels, 1"
373,"junky armadillo, cybertronic gadgets and vr helmet, durty colours, rotten textures, rusty shapes, flesh + technology, biotechnology, norman rockwell, tim hildebrandt, dariusz zawadzki, bruce pennington, larry elmore, intricate details, hyperrealistic oil painting on canvas, deep depth field, cinematic composition,"
374,"hyperrealistic detailed image of a geisha in a art installation room, hd smooth interior by yayoi kusama, part by kei mieno, part by ross tran, dark art by james jean, ultra realistic, highly detailed, life like face, detailed body,"
375,"kodak portra 4 0 0, wetplate, 8 mm extreme fisheye, award - winning portrait by britt marling of a 1 9 6 0 s room, picture frames, shining lamps, dust, 1 9 6 0 s metal bauhaus furniture, wallpaper,"
376,"award winning emotional heartbreaking full body photo of adolf hitler puking blood, male, india third eye tika, draped in shiny golden oil, red lipstick, tease, flowers and gold, vivid colors, weird and disturbing, symmetrical face, neon lights, studio lighting,"
377,a horrifying nightmare of a creepy magazine editorial hassleblad octane render cinema 4 d vampire god in black robes ultra realistic close up face shot of the shadow eater ghost with his demonic mouth wide open volumetric lighting moody
378,"a photo of a model hippo made with a combination of [ elm wood!!! ] and composite [ blue epoxy resin!! ] in straight lines, dramatic lighting, epoxy resin, studio zeiss 1 5 0 mm f 2. 8 hasselblad,"
379,"Oil painting - She Eats of the Strangling Fruit and Her gossamer polyp blossoms bring iridescent fungal flowers whose spores black the foolish stars by Lucian Freud, Abstract brush strokes, Masterpiece, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Mark"
380,"symmetry!! stunning portrait of harley quinn!! by victo ngai, kilian eng vibrant colors, dynamic lighting, digital art, winning award masterpiece, fantastically beautiful, illustration, aestheticly inspired by beksinski and dan mumford, upscale with simon stalenhag work, trending on artstation, art by"
381,"portrait of Jenna Jameson as a character in star Wars movie, looking at camera, intricate, dystopian, sci-fi, extremely detailed, octane render, digital painting, concept art, smooth, sharp focus, illustration, incredible art by artgerm and greg rutkowski and alphonse mucha and"
382,"!dream aesthetic portrait commission of an albino male furry anthro lion with lavender and mint glowing orbs of light illuminating the lions face, Atmospheric. Character design by charlie bowater, ross tran, artgerm, and makoto shinkai, detailed, inked, western comic book"
383,"sharp, highly detailed, film from a 2 0 1 9 sci fi 8 k movie, set in 1 8 6 0, family standing in a park on a strange alien planet, surrounded by alien plants and flowers, wearing 1 8"
384,"a full head photoshot, detailed photograph of a dreaming samurai warrior in a distance japanese temple mountain landscape, photorealism ultradetailed digital art, irina french, heraldo ortega, mandy jurgens, golden ratio, art canvas, award winning, masterpiece trending on artstation 8 k"
385,"a half otter half man creature holding a microphone,anthropomorphic,Character design by charlie bowater, ross tran, artgerm, and makoto shinkai, detailed, inked, western comic book art, 2021 award winning painting,digital art,ultra realistic,ultra detailed,art by greg rutkowski,photorealiatic,hyperdetailed,hyperrealistic,studio lighting,studio photography,professional photography,professional lighting,detailed face,3"
386,"breathtaking detailed concept art painting portrait of the hugs goddess of light blue flowers, blonde curly hair, orthodox saint, with anxious piercing eyes, ornate background, amalgamation of leaves and flowers, face by hsiao - ron cheng, extremely moody lighting, 8"
387,"award winning emotional heartbreaking full body photo of adolf hitler puking blood, male, india third eye tika, draped in shiny golden oil, red lipstick, tease, flowers and gold, vivid colors, weird and disturbing, symmetrical face, neon lights, studio lighting, wide"
388,"ultra - detailed cinematic render, of a lightsaber hilt, that lies vertically on a carved stone, lit up in a dark room, photo from above, octane render, by mizuriau on deviantart, high quality, digital art, 8 k, jedi fallen order,"
389,"ultra detailed photorealistic cyberpunk alien base, in the dream, cinematic light, sci fi, glossy, cybernetic machines, wires, robotics, futuristic decor, trending on artstation, global illumination, ultra realistic illustration, matte painting, high detailed, unreal engine, octane render, 4 k, hd, high"
390,"ultra - detailed cinematic render, of a lightsaber hilt, that lies vertically on a carved stone, lit up in a dark room, photo from above, octane render, by mizuriau on deviantart, high quality, digital art, 8 k, jedi fallen order, volumetric"
391,"bemused to be locked in a leather neck restraint, Tifa Lockhart in a black silk tank top in a full frame zoom up of her face and neck, looking upwards in a room of old ticking clocks, complex artistic color ink"
392,"breathtaking detailed concept art painting blend of two redhair goddess of light blue flowers by hsiao - ron cheng with anxious piercing eyes, vintage illustration pattern with bizarre compositions blend of flowers and fruits and birds by beto val and john"
393,"a half otter half man creature holding a microphone,anthropomorphic,Character design by charlie bowater, ross tran, artgerm, and makoto shinkai, detailed, inked, western comic book art, 2021 award winning painting,digital art,ultra realistic,ultra detailed,art by greg rutkowski,photorealiatic,hyperdetailed,hyperrealistic,studio lighting,studio photography,professional photography,professional lighting,detailed face,3 point"
394,"junky armadillo, cybertronic gadgets and vr helmet, durty colours, rotten textures, rusty shapes, flesh + technology, biotechnology, norman rockwell, tim hildebrandt, dariusz zawadzki, bruce pennington, larry elmore, intricate details, hyperrealistic oil painting on canvas, deep depth field, cinematic composition, hyper -"
395,"full-body baroque and cyberpunk style sculpture of a young handsome Spanish prince half android with a chest opening exposing circuitry and blue electric sparks, glowing pink laser eyes, crown of peach roses, flowing teal-colored silk, fabric, flowers. baroque elements, human skull."
396,"kodak portra 4 0 0, wetplate, 8 mm extreme fisheye, award - winning portrait by britt marling of a 1 9 6 0 s room, picture frames, shining lamps, dust, 1 9 6 0 s metal bauhaus furniture, wallpaper, carpet, books,"
397,"glamorous and sexy japanese schoolgirl, beautiful, pearlescent skin, natural beauty, seductive eyes and face, elegant girl, lacivious pose, natural beauty, very detailed face, seductive lady, sexy push up bras, pale and coloured kimono, photorealism, summer vibrancy, cinematic, a portrait by artgerm,"
398,Full shot of Kpop boy idol with an eyeball instead of head performing on stage. Orb Head. Sphere Head. Eyeball Head. BTS. Eye exam. Friendly horror. Realistic. Wonho. y Ruan Jia and Artgerm and Range Murata and WLOP and Ross Tran
399,"a beautiful render of absolutely beautiful princess that wear rose flower wedding gothic lolita dress clothing stay in blooming flower house alone, a beautiful face, dazzling light beam penetrated through the window, perfectly shaded, atmospheric lighting, style of makoto shinkai, raphael"
400,"stunning, breathtaking, awe-inspiring award-winning concept art nouveau painting of attractive _____ as the goddess of the sun, with anxious, piercing eyes, by Alphonse Mucha, Michael Whelan, William Adolphe Bouguereau, John Williams Waterhouse, and Donato Giancola, cyberpunk, extremely moody lighting, glowing light and"
401,"the platonic ideal of flowers, rotting, insects and praying hands in namaskara mudra of cletus kasady ultimate carnage thanos dementor doctor manhattan chtulu nazgul davinci, detailed, intricate, hyperrealism, intense, scary, decay, dmt, art by brock hofer and artgerm and greg rutkowski and"
402,"the source of future growth dramatic, elaborate emotive Art Nouveau styles to emphasise beauty as a transcendental, seamless pattern, symmetrical, large motifs, hyper realistic, 8k image, 3D, supersharp,Art nouveau 3D curves and swirls, Glass and Gold pipes, photorealistic colorful flower bouquets silk"
403,"shiny aluminum rocket ship in cosmic space by tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, larry elmore, fleet, star wars, naboo 1, v wing, b - 2 bomber, jet engines, concorde, world war 2, masterpiece, trending on artstation, cinematic composition, beautiful"
404,"concept art of giant translucent glowing jellyfishes, lovecraftian divers helmet, lots of teeth, melting horror, round moon, rich clouds, fighting the horrors of the unknown, high resolution, very detailed, volumetric light, mist, grim, fine art, decaying, textured oil over canvas, epic fantasy"
405,"full-body cyberpunk style sculpture of a young handsome Colombian prince half android with a chest opening exposing circuitry and electric sparks, glowing pink eyes, crown of blue flowers, flowing salmon-colored silk, fabric, raptors. baroque elements. full-length view. baroque element. intricate artwork by"
406,"breathtaking Female Portrait by Miho Hirano, ilya kuvshinov, alphonse mucha, realistic, detailed, blue, green tonalities, beautiful collage technique including flora, branches, birds, butterflies, ornate background, beautiful Fantasy detailed trending on artstation, oil painting,Dramatic lighting, ethereal , high quality print, fine art with"
407,"!dream aesthetic portrait commission of an albino male furry anthro lion with lavender and mint glowing orbs of light illuminating the lions face, Atmospheric. Character design by charlie bowater, ross tran, artgerm, and makoto shinkai, detailed, inked, western comic book art, 2021"
408,"a half otter half man creature holding a microphone,anthropomorphic,Character design by charlie bowater, ross tran, artgerm, and makoto shinkai, detailed, inked, western comic book art, 2021 award winning painting,digital art,ultra realistic,ultra detailed,art by greg rutkowski,photorealiatic,hyperdetailed,hyperrealistic,studio lighting,studio photography,professional photography,professional lighting,detailed face,3 point lighting,4k.-n"
409,"a beautiful render of absolutely beautiful princess that wear rose flower wedding gothic lolita dress clothing stay in blooming flower house alone, a beautiful face, dazzling light beam penetrated through the window, perfectly shaded, atmospheric lighting, style of makoto shinkai, raphael lacoste,"
410,"full-body cyberpunk style sculpture of a young handsome Colombian prince half android with a chest opening exposing circuitry and electric sparks, glowing pink eyes, crown of blue flowers, flowing salmon-colored silk, fabric, raptors. baroque elements. full-length view. baroque element. intricate artwork by caravaggio."
411,"full-body baroque and cyberpunk style sculpture of a young handsome Spanish prince half android with a chest opening exposing circuitry and blue electric sparks, glowing pink laser eyes, crown of peach roses, flowing teal-colored silk, fabric, flowers. baroque elements, human skull. full-length view."
412,"award winning emotional heartbreaking full body photo of adolf hitler puking blood, male, india third eye tika, draped in shiny golden oil, red lipstick, tease, flowers and gold, vivid colors, weird and disturbing, symmetrical face, neon lights, studio lighting, wide shot art by"
413,"Oil painting - She Eats of the Strangling Fruit and Her gossamer polyp blossoms bring iridescent fungal flowers whose spores black the foolish stars by Lucian Freud, Abstract brush strokes, Masterpiece, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Mark Ryden, Wolfgang Lettl highly"
414,"bemused to be locked in a leather neck restraint, Tifa Lockhart in a black silk tank top in a full frame zoom up of her face and neck, looking upwards in a room of old ticking clocks, complex artistic color ink pen sketch"
415,"a beautiful render of absolutely beautiful princess that wear rose flower wedding gothic lolita dress clothing stay in blooming flower house alone, a beautiful face, dazzling light beam penetrated through the window, perfectly shaded, atmospheric lighting, style of makoto shinkai, raphael lacoste, louis"
416,"portrait of a sexy girl pilot of a battlemech, bipedal mech is on fire, sunset glow around head, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, background is a"
417,"a detailed 3 d render of a frightening egyptian demon wearing cyberpunk warrior armor in the style of stephen gammall and escher, william blake, rembrandt, raphael, giger, junji ito, artstation, crisp image, award - winning art, 8 k, vivid color scheme, tilt shift"
418,"beautiful mannequin sculpted out of amethyst by billelis + lit with 3 d geometric neon + facing a doorway opening with neon pink geometric fractal light + city of los angeles + moon in background!, rule of thirds, clean linework, dramatic, award winning,"
419,"symmetry!! stunning portrait of harley quinn!! by victo ngai, kilian eng vibrant colors, dynamic lighting, digital art, winning award masterpiece, fantastically beautiful, illustration, aestheticly inspired by beksinski and dan mumford, upscale with simon stalenhag work, trending on artstation, art by artgerm and greg"
420,"breathtaking Female Portrait by Miho Hirano, ilya kuvshinov, alphonse mucha, realistic, detailed, blue, green tonalities, beautiful collage technique including flora, branches, birds, butterflies, ornate background, beautiful Fantasy detailed trending on artstation, oil painting,Dramatic lighting, ethereal , high quality print, fine art with subtle redshift"
421,"sharp, highly detailed, film from a 2 0 1 9 sci fi 8 k movie, set in 1 8 6 0, family standing in a park on a strange alien planet, surrounded by alien plants and flowers, wearing 1 8 6 0 s clothes,"
422,"beautiful mannequin sculpted out of amethyst by billelis + lit with 3 d geometric neon + facing a doorway opening with neon pink geometric fractal light + city of los angeles + moon in background!, rule of thirds, clean linework, dramatic, award winning, 4"
423,"Oil painting - She Eats of the Strangling Fruit and Her gossamer polyp blossoms bring iridescent fungal flowers whose spores black the foolish stars by Lucian Freud, Abstract brush strokes, Masterpiece, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Mark Ryden, Wolfgang Lettl highly detailed,"
424,"breathtaking detailed concept art painting blend of two redhair goddess of light blue flowers by hsiao - ron cheng with anxious piercing eyes, vintage illustration pattern with bizarre compositions blend of flowers and fruits and birds by beto val and john james audubon, exquisite"
425,"a beautiful render of absolutely beautiful princess that wear rose flower wedding gothic lolita dress clothing stay in blooming flower house alone, a beautiful face, dazzling light beam penetrated through the window, perfectly shaded, atmospheric lighting, style of makoto shinkai, raphael lacoste, louis comfort"
426,"a portrait of milla jovovich and david bowie as barbarella wearing a rocknroll glamour spacesuit, beautiful, heroic action pose, soft focus, depth of field, stunning alien landscape, cinematic, film grain, wide shot, in the style of kubrick, ridley scott, jodorowsky, dune, star wars, unreal"
427,"portrait of a sexy girl pilot of a battlemech, bipedal mech is on fire, sunset glow around head, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, background is a city"
428,"shiny aluminum rocket ship in cosmic space by tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, larry elmore, fleet, star wars, naboo 1, v wing, b - 2 bomber, jet engines, concorde, world war 2, masterpiece, trending on artstation, cinematic composition, beautiful lighting, sharp,"
429,"a detailed 3 d render of a frightening egyptian demon wearing cyberpunk warrior armor in the style of stephen gammall and escher, william blake, rembrandt, raphael, giger, junji ito, artstation, crisp image, award - winning art, 8 k, vivid color scheme, tilt shift focus,"
430,"full body pose, hyperrealistic mixed media painting of female anarchist, dim volumetric lighting, 8 k, octane detailed render, extremely hyper detailed, intricate, epic composition, cinematic lighting, masterpiece, trending on artstation, very very detailed, masterpiece, stunning, hdr, smooth, sharp focus, high resolution, award, winning photo, dslr,"
431,Full shot of Kpop boy idol with an eyeball instead of head performing on stage. Orb Head. Sphere Head. Eyeball Head. BTS. Eye exam. Friendly horror. Realistic. Wonho. y Ruan Jia and Artgerm and Range Murata and WLOP and Ross Tran and William-Adolphe Bouguereau. Key
432,"A closeup portrait of a lone solitary cerulean and brown decaying futuristic robot seated on a torn couch facing a cozy fire in a beautiful fireplace in a dusty Victorian home, soft morning light seeping in a window, with cinematic lighting and lens flare, tall"
433,"bemused to be locked in a leather neck restraint, Tifa Lockhart in a black silk tank top in a full frame zoom up of her face and neck, looking upwards in a room of old ticking clocks, complex artistic color ink pen sketch illustration, subtle"
434,"Oil painting - She Eats of the Strangling Fruit and Her gossamer polyp blossoms bring iridescent fungal flowers whose spores black the foolish stars by Lucian Freud, Abstract brush strokes, Masterpiece, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Mark Ryden, Wolfgang Lettl highly detailed, hints"
435,"a beautiful render of absolutely beautiful princess that wear rose flower wedding gothic lolita dress clothing stay in blooming flower house alone, a beautiful face, dazzling light beam penetrated through the window, perfectly shaded, atmospheric lighting, style of makoto shinkai, raphael lacoste, louis comfort tiffany,"
436,"award winning emotional heartbreaking full body photo of adolf hitler puking blood, male, india third eye tika, draped in shiny golden oil, red lipstick, tease, flowers and gold, vivid colors, weird and disturbing, symmetrical face, neon lights, studio lighting, wide shot art by sally mann"
437,Colour Caravaggio style Photography of Highly detailed beautiful Woman with 1000 years perfect face and wearing detailed Ukrainian folk costume designed by Taras Shevchenko also wearing highly detailed futuristic VR headset designed by Josan Gonzalez. Many details In style of Josan Gonzalez and Mike Winkelmann
438,"symmetry!! stunning portrait of harley quinn!! by victo ngai, kilian eng vibrant colors, dynamic lighting, digital art, winning award masterpiece, fantastically beautiful, illustration, aestheticly inspired by beksinski and dan mumford, upscale with simon stalenhag work, trending on artstation, art by artgerm and greg rutkowski, 8"
439,"a full head photoshot, detailed photograph of a dreaming samurai warrior in a distance japanese temple mountain landscape, photorealism ultradetailed digital art, irina french, heraldo ortega, mandy jurgens, golden ratio, art canvas, award winning, masterpiece trending on artstation 8 k 1 5 0 mpx, hasselblade"
440,"portrait of a woman by greg rutkowski, blue skin, pretty, she wears a band on her forehead, evil energy, wearing black robes, twisted smile, star wars expanded universe, he is about 3 0 years old, highly detailed portrait, digital painting, artstation, concept art, smooth, sharp foccus"
441,"glamorous and sexy japanese schoolgirl, beautiful, pearlescent skin, natural beauty, seductive eyes and face, elegant girl, lacivious pose, natural beauty, very detailed face, seductive lady, sexy push up bras, pale and coloured kimono, photorealism, summer vibrancy, cinematic, a portrait by artgerm, rossdraws, Norman Rockwell, magali villeneuve,"
442,"close up shot of a spheric sci fi probe, sharp focus, concept art, very detailed, very realistic, trending on artstation, in the style of star citizen, star wars, overwatch, beautiful, sci fi, cinematic shot, great composition, dynamic light, atmosphere, wojtek kapusta, jonathan ching, edgaras cernikas, scott"
443,"highly detailed portrait of a sewerpunk lady student, blue eyes, tartan hoody, hat, white hair by atey ghailan, by greg rutkowski, by greg tocchini, by james gilleard, by joe fenton, by kaethe butcher, gradient yellow, black, brown and cyan color scheme, grunge aesthetic!!! ( ( graffiti"
444,"Oil painting - She Eats of the Strangling Fruit and Her gossamer polyp blossoms bring iridescent fungal flowers whose spores black the foolish stars by Lucian Freud, Abstract brush strokes, Masterpiece, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Mark Ryden, Wolfgang Lettl highly detailed, hints of"
445,"hyperrealistic detailed image of a geisha in a art installation room, hd smooth interior by yayoi kusama, part by kei mieno, part by ross tran, dark art by james jean, ultra realistic, highly detailed, life like face, detailed body, 8 k, 3 d render by roger"
446,"shiny aluminum rocket ship in cosmic space by tim hildebrandt, wayne barlowe, bruce pennington, donato giancola, larry elmore, fleet, star wars, naboo 1, v wing, b - 2 bomber, jet engines, concorde, world war 2, masterpiece, trending on artstation, cinematic composition, beautiful lighting, sharp, details, hd,"
447,"Oil painting - She Eats of the Strangling Fruit and Her gossamer polyp blossoms bring iridescent fungal flowers whose spores black the foolish stars by Lucian Freud, Abstract brush strokes, Masterpiece, Edward Hopper and James Gilleard, Zdzislaw Beksinski, Mark Ryden, Wolfgang Lettl highly detailed, hints of"
448,"award winning emotional heartbreaking full body photo of adolf hitler puking blood, male, india third eye tika, draped in shiny golden oil, red lipstick, tease, flowers and gold, vivid colors, weird and disturbing, symmetrical face, neon lights, studio lighting, wide shot art by sally mann &"
449,Colour Caravaggio style Photography of Highly detailed beautiful Woman with 1000 years perfect face and wearing detailed Ukrainian folk costume designed by Taras Shevchenko also wearing highly detailed futuristic VR headset designed by Josan Gonzalez. Many details In style of Josan Gonzalez and Mike Winkelmann and
